,0,1
3,1.1797070582158498,1.2996450558121047
4,1.214197537520365,1.3165300463192289
0,1.0529863794374466,1.2309589888575214
1,1.1001891184932926,1.257129987777349
2,1.141824885094836,1.2795148876276792
3,1.179069347461601,1.2988155402433676
4,1.2127610618835405,1.3155926100277955
0,1.0529863794374466,1.2309589888575214
1,1.1001891184932926,1.257129987777349
2,1.141824885094836,1.2795148876276792
3,1.179069347461601,1.2988155402433676
4,1.2127610618835405,1.3155926100277955
0,1.0529863794374466,1.2309589888575214
1,1.1001891184932926,1.257129987777349
2,1.141824885094836,1.2795148876276792
3,1.179069347461601,1.2988155402433676
4,1.2127610618835405,1.3155926100277955
0,1.0529863794374466,1.2309589888575214
1,1.1001891184932926,1.257129987777349
2,1.141824885094836,1.2795148876276792
3,1.179069347461601,1.2988155402433676
4,1.2127610618835405,1.3155926100277955
0,1.0529863794374466,1.2309589888575214
1,1.1001891184932926,1.257129987777349
2,1.141824885094836,1.2795148876276792
3,1.179069347461601,1.2988155402433676
4,1.2127610618835405,1.3155926100277955
0,1.0529863794374466,1.2309589888575214
1,1.1001891184932926,1.257129987777349
2,1.141824885094836,1.2795148876276792
3,1.179069347461601,1.2988155402433676
4,1.2127610618835405,1.3155926100277955
0,1.0529863794374466,1.2309589888575214
1,1.1001891184932926,1.257129987777349
2,1.141824885094836,1.2795148876276792
3,1.179069347461601,1.2988155402433676
4,1.2127610618835405,1.3155926100277955
0,1.0529863794374466,1.2309589888575214
1,1.1001891184932926,1.257129987777349
2,1.141824885094836,1.2795148876276792
3,1.179069347461601,1.2988155402433676
4,1.2127610618835405,1.3155926100277955
0,1.0529863794374466,1.2309589888575214
1,1.1001891184932926,1.257129987777349
2,1.141824885094836,1.2795148876276792
3,1.179069347461601,1.2988155402433676
4,1.2127610618835405,1.3155926100277955
0,1.0485354063247234,1.2311156648521466
1,1.0972617609083204,1.2575157536845682
2,1.140241451650132,1.2800966015293123
3,1.1786880951258705,1.2995662039368783
4,1.2134673146434167,1.3164901331309249
0,1.0485354063247234,1.2311156648521466
1,1.0972617609083204,1.2575157536845682
2,1.140241451650132,1.2800966015293123
3,1.1786880951258705,1.2995662039368783
4,1.2134673146434167,1.3164901331309249
0,1.0485354063247234,1.2311156648521466
1,1.0972617609083204,1.2575157536845682
2,1.140241451650132,1.2800966015293123
3,1.1786880951258705,1.2995662039368783
4,1.2134673146434167,1.3164901331309249
0,1.0485354063247234,1.2311156648521466
1,1.0972617609083204,1.2575157536845682
2,1.140241451650132,1.2800966015293123
3,1.1786880951258705,1.2995662039368783
4,1.2134673146434167,1.3164901331309249
0,1.0485354063247234,1.2311156648521466
1,1.0972617609083204,1.2575157536845682
2,1.140241451650132,1.2800966015293123
3,1.1786880951258705,1.2995662039368783
4,1.2134673146434167,1.3164901331309249
0,1.0552082074633866,1.233255883534649
1,1.1040694461247869,1.2596762121624578
2,1.1471681130551419,1.282274371757285
3,1.1857211843581654,1.3017589006589056
4,1.2205966795563248,1.3186958046905073
0,1.0565099526707837,1.2357454320188928
1,1.107520678577931,1.262487385289664
2,1.1525153276285405,1.2853606408196585
3,1.1927644127314698,1.3050823622535734
4,1.229174139033287,1.3222254456173397
0,1.0366640570679875,1.2396454340840346
1,1.098118159047151,1.2679249819738385
2,1.1523245186332902,1.292113391795914
3,1.2008137596016664,1.3129690622891144
4,1.244677613593044,1.3310978295506444
0,1.034888876154012,1.2367503809520877
1,1.09382613921918,1.2646632374051296
2,1.1458124895496526,1.2885380042091057
3,1.1923158645684997,1.3091232462001394
4,1.2343832842928735,1.3270169438014419
0,1.034888876154012,1.2367503809520877
1,1.09382613921918,1.2646632374051296
2,1.1458124895496526,1.2885380042091057
3,1.1923158645684997,1.3091232462001394
4,1.2343832842928735,1.3270169438014419
0,1.0517786527700166,1.2434911223270817
1,1.1124027765063633,1.2716500223120668
2,1.1658770433984458,1.2957352380881375
3,1.2137114051363338,1.3165019328679213
4,1.256982848803804,1.3345533580942968
0,1.0517786527700166,1.2434911223270817
1,1.1124027765063633,1.2716500223120668
2,1.1658770433984458,1.2957352380881375
3,1.2137114051363338,1.3165019328679213
4,1.256982848803804,1.3345533580942968
0,1.0541618786869518,1.24882772278501
1,1.119761747064963,1.2777057978867243
2,1.1776249317764989,1.3024061473461577
3,1.2293853142869071,1.3237032211588686
4,1.2762082757445867,1.342215677741271
0,1.0535445484563084,1.246269810271782
1,1.1165750553012819,1.2747777556677489
2,1.1721719025238433,1.299161521246675
3,1.221904977067851,1.320185630894156
4,1.2668940153941757,1.3384608136941694
0,1.0571541961320938,1.247090682765828
1,1.1198881491982433,1.275555737563605
2,1.1752234174496075,1.2999028174299245
3,1.2247225016304275,1.320895296013621
4,1.2694998699260138,1.3391429835483166
